"ЭнциклопедияДляПервогоЧтения Животные (с крупными буквами) (Гальцева С.Н.,Клюшник Л.В.), (Росмэн/Росмэн-Пресс, 2022), 7Б, c.64",332 Р,"Развивающая литература, детские энциклопедии"
"ЭнциклопедияДляПервогоЧтения Техника (с крупными буквами) (Чернецов-Рождественский С.Г.,Клюшник Л.В.), (Росмэн/Росмэн-Пресс, 2022), 7Б, c.64",332 Р,"Развивающая литература, детские энциклопедии"
"СборникиСказок Барсотти Э. Принцессы. Все любимые сказки, (Росмэн/Росмэн-Пресс, 2022), 7Б, c.48",415 Р,Детские книжки
"Пандемониум Гаглоев Е. Кн.13 Тьма в твоих глазах, (Росмэн/Росмэн-Пресс, 2022), 7Б, c.400",363 Р,Детские книжки
"Зигнер И. Дракончик Кокоша и ученик чародея, (АСТ,Малыш, 2022), 7Бц, c.72",581 Р,Детские книжки
"ВинниПухИВсеВсеВсе Риордан Дж. Винни-Пух. Жил-был мишка. А начиналось все так..., (Росмэн/Росмэн-Пресс, 2022), 7Б, c.128",664 Р,Детские книжки
"ВнеклассноеЧтение Крапивин В.П. Мушкетер и фея, (Росмэн/Росмэн-Пресс, 2022), 7Б, c.192",232 Р,Детские книжки
"ВселеннаяГарриПоттера Бопп Л. Удивительные факты о мире Гарри Поттера, (АСТ, 2022), 7Бц, c.176",412 Р,Детские книжки
ЧтениеЛучшееУчение Короленко В. Дети подземелья,172 Р,Художественная литература для школьников
"ВеселаяПеременка Постников В. Веселые приключения в 3 ""Б""",711 Р,Художественная литература для школьников
ВеселаяКомпания(Махаон) Дружинина М. Это наш веселый класс! Рассказы,614 Р,Художественная литература для школьников
ЧитаемСами(Вакоша) Толстой Л.Н. Филипок Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Раскин А.Б. Как папа писал два сочинения Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Постников В. Школьный завтрак Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Раскин А.Б. Как папа опаздывал Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Постников В. Урок истории Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Постников В. Задачка по математике Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Осеева В.А. Волшебное слово Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Пантелеев Л. Честное слово Рассказы д/самостоятельного чтения,89 Р,Детские книжки
БольшаяКн(Махаон) Носов Н.Н. Незнайка на Луне (худ.Борисов А.),1270 Р,Детские книжки
Торн С.(Иностранка)-мини Второе первое впечатление,215 Р,Российская и зарубежная проза
АзбукаКлассика(о) Кабре Ж. Я исповедуюсь,330 Р,Российская и зарубежная проза
АзбукаБестселлер(тв) Моруа А. Письма незнакомке,517 Р,Российская и зарубежная проза
TheBigBook(тв) Маццола А. Заводная девушка,690 Р,Российская и зарубежная проза
ГрафичРоман(Азбука)(тв) Роковой Патруль Кн. 1 (Моррисон Г.),1784 Р,Комиксы и манга
ГрафичРоман(Азбука)(тв) Бэтмен и сын (Моррисон Г.),2044 Р,Комиксы и манга
ГрафичРоман(Азбука)(о) Злодеи Готэма (Де Вито Д.) [юбил.спецвыпуск],421 Р,Комиксы и манга
"ЗвездыНовойФантастики Симмонс Д. Илион [дилогия ""Троя"" Кн. 1]",849 Р,"Фантастика, фэнтези, мистика"
МирПриключений(Азбука) Леблан М. Преступления Арсена Люпена,944 Р,Детективы. Остросюжетная литература
ЗвездыМировогоДетектива(тв) Коннелли М. Ловушка для адвоката,690 Р,Детективы. Остросюжетная литература
АзбукаКлассика(о) Сименон Ж. Три комнаты на Манхэттене,215 Р,Детективы. Остросюжетная литература
"Ты такой,какой есть… (Клер О.;худ.Бордиккья Г.)",732 Р,Детские книжки
